"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
1990-01-01,53,52.7534151198531,52.9544218975121,53.3394988063521,52.9464030093627
1991-01-01,52,52.1624450168265,52.3366841276022,52.6148501749865,52.3858807527673
1992-01-01,51.5,51.7852094746458,51.2530969003163,51.8902015436209,51.2867841685583
1993-01-01,51.5,51.1651658477711,50.7853194377865,51.1635675735392,50.9309550044564
1994-01-01,50.5,50.360683201217,50.9956980272454,50.4389189421736,51.0751258403544
1995-01-01,49.5,49.7697130999798,49.9347195473255,49.714270310808,49.7867841685584
1996-01-01,49.1,49.3924775592027,48.7736261039163,48.9896216794424,48.7867841685584
1997-01-01,47.9,48.7724339357484,48.4172108225577,48.2629877093607,48.559789171636
1998-01-01,48,47.9679512902884,47.1133832550571,47.5383390779951,47.1291158341992
1999-01-01,47.1,47.376981189271,47.3954197360528,46.8136904466295,47.603960007534
2000-01-01,46.9,46.9997441384384,46.5032473687878,46.0890418152639,46.415618335738
2001-01-01,47.1,46.3796782274644,46.3785735751617,45.3624078451822,46.4174575059952
2002-01-01,45.8,45.5751625869839,46.8050813406086,44.6377592138167,46.7327941747136
2003-01-01,45.6,44.9816861855757,45.3116757901496,43.913110582451,45.0002816670197
2004-01-01,44.9,44.6005573568019,45.0906366704641,43.1884619510855,45.1174575059952
2005-01-01,44.2,43.3704015368358,44.3684769383281,42.4618279810038,44.2732866700972
2006-01-01,43.2,41.9560967891186,43.6061858564024,41.7371793496382,43.5732866700972
2007-01-01,41.5,40.7548542909437,42.4839190825651,41.0125307182726,42.4867841685584
2008-01-01,39.4,39.7673463531877,40.4879320167481,40.287882086907,40.5849449983013
2009-01-01,37.4,38.5353583522805,38.0093818079056,39.5612481168253,38.3696083295829
2010-01-01,36.2,37.120618233149,35.7458781763626,38.8365994854597,36.3984424967625
2011-01-01,35,35.9196624241912,34.6060906207235,38.1119508540941,35.4291158341993
2012-01-01,34.8,34.9335105734594,33.5525364860753,37.3873022227285,34.2291158341992
2013-01-01,34.9,34.2743173809785,33.7161962008658,36.6606682526468,34.3174575059952
2014-01-01,33.9,33.4316740869373,34.2450598053134,35.9360196212812,34.503960007534
2015-01-01,33.4,33.5166178450817,33.2684120865433,35.2113709899156,33.1867841685584
2016-01-01,33,33.8152961632154,32.7697060912166,34.48672235855,32.8309550044564
2017-01-01,32.5,33.8730182160675,32.442485234925,33.7600883884684,32.459789171636
2018-01-01,32.9,33.7444494292203,31.9795901520824,33.0354397571028,31.9309550044564
2019-01-01,33.5,33.8293931873625,32.6255568400544,32.3107911257372,32.5904625090728
2020-01-01,36.1,34.1280715054968,33.5422451972919,31.5861424943716,33.2481308434319
2021-01-01,34.9,34.1857935583476,36.8942831989026,30.8595085242899,36.4248141870238
